Type,Strike,Moneyness,Price,Volume,Open Int,Implied Volatility
Call,3600,9.32%,407.2,0,3,0.221
Call,3625,8.69%,384.9,0,0,0.22
Call,3650,8.06%,363.1,0,0,0.219
Call,3675,7.43%,341.5,0,4,0.217
Call,3680,7.31%,337.3,0,0,0.217
Call,3690,7.05%,328.9,0,0,0.216
Call,3700,6.80%,320.3,0,10,0.215
Call,3710,6.55%,312,0,0,0.215
Call,3720,6.30%,303.7,0,0,0.214
Call,3725,6.17%,299.6,0,0,0.214
Call,3730,6.05%,295.5,40,0,0.213
Call,3740,5.79%,287.3,0,0,0.212
Call,3750,5.54%,279.2,0,0,0.212
Call,3760,5.29%,271.2,0,0,0.211
Call,3770,5.04%,263.4,40,0,0.21
Call,3775,4.91%,259.3,0,0,0.209
Call,3780,4.79%,255.4,0,0,0.209
Call,3790,4.53%,247.7,0,0,0.208
Call,3800,4.28%,240,0,21,0.207
Call,3810,4.03%,232.2,0,0,0.206
Call,3820,3.78%,224.7,0,0,0.205
Call,3825,3.65%,220.9,0,0,0.205
Call,3830,3.53%,217.2,0,0,0.204
Call,3840,3.28%,209.8,0,0,0.203
Call,3850,3.02%,202.4,0,2,0.202
Call,3860,2.77%,195.2,0,1,0.201
Call,3870,2.52%,188.1,0,5,0.2
Call,3875,2.39%,184.5,0,0,0.199
Call,3880,2.27%,181,0,22,0.198
Call,3890,2.02%,174.1,0,3,0.197
Call,3900,1.76%,167.2,2,126,0.196
Call,3910,1.51%,160.5,0,2,0.195
Call,3920,1.26%,153.9,5,9,0.194
Call,3925,1.13%,150.5,4,1,0.193
Call,3930,1.01%,146.7,0,0,0.191
Call,3940,0.76%,140.3,12,2,0.19
Call,3950,0.50%,134.1,36,6,0.189
Call,3960,0.25%,127.9,9,5,0.187
Call,3970,unch,121.9,1,4,0.186
Call,3975,-0.12%,118.9,4,12,0.185
Call,3980,-0.25%,116,5,2,0.185
Call,3990,-0.50%,110.2,12,10,0.183
Call,4000,-0.75%,104.6,1,283,0.182
Call,4010,-1.01%,99.1,4,29,0.181
Call,4020,-1.26%,93.7,0,102,0.179
Call,4025,-1.38%,91.1,0,78,0.178
Call,4030,-1.51%,88.6,4,41,0.178
Call,4040,-1.76%,83.5,0,14,0.176
Call,4050,-2.01%,78.7,3,56,0.175
Call,4060,-2.27%,74,0,80,0.174
Call,4070,-2.52%,69.4,18,74,0.172
Call,4075,-2.64%,67.2,6,26,0.172
Call,4080,-2.77%,65.1,22,19,0.171
Call,4090,-3.02%,60.9,0,137,0.17
Call,4100,-3.27%,56.8,13,39,0.168
Call,4110,-3.53%,53,22,59,0.167
Call,4120,-3.78%,49.3,30,40,0.166
Call,4125,-3.90%,47.5,8,45,0.165
Call,4130,-4.03%,45.8,5,57,0.165
Call,4140,-4.28%,42.4,2,45,0.164
Call,4150,-4.53%,39.2,6,78,0.162
Call,4160,-4.78%,36.2,20,81,0.161
Call,4170,-5.04%,33.4,5,42,0.16
Call,4175,-5.16%,32,2,52,0.16
Call,4180,-5.29%,30.7,2,18,0.159
Call,4190,-5.54%,28.2,0,31,0.158
Call,4200,-5.79%,25.8,31,65,0.157
Call,4210,-6.04%,23.6,11,86,0.156
Call,4220,-6.30%,21.5,4,64,0.155
Call,4225,-6.42%,20.6,1,55,0.155
Call,4230,-6.55%,19.6,2,34,0.154
Call,4240,-6.80%,17.8,12,48,0.153
Call,4250,-7.05%,16.2,9,79,0.152
Call,4260,-7.30%,14.7,2,10,0.152
Call,4270,-7.56%,13.2,14,29,0.151
Call,4275,-7.68%,12.7,8,52,0.151
Call,4280,-7.81%,12.1,7,16,0.15
Call,4290,-8.06%,10.8,10,41,0.149
Call,4300,-8.31%,9.7,94,197,0.149
Call,4310,-8.56%,8.8,13,16,0.148
Call,4325,-8.94%,7.5,11,11,0.148
Call,4350,-9.57%,5.7,59,174,0.146
Call,4400,-10.83%,3.3,94,209,0.145
Call,4450,-12.09%,1.95,1,872,0.145
Call,4500,-13.35%,1.2,7,140,0.147
Call,4600,-15.87%,0.5,4,252,0.152
Call,4800,-20.91%,0.2,0,18,0.175
Call,5000,-25.94%,0.15,0,65,0.204
Call,5200,-30.98%,0.1,0,13,0.228
